n = 7

Experiments using ibmq_casablanca backend, with 7 qubits available.
max. l = 0.0  fidelity: 1.0 	cnots: 151 	depth: 243
max. l = 0.005  fidelity: 0.9963 	cnots: 21 	depth: 23
max. l = 0.01  fidelity: 0.9963 	cnots: 21 	depth: 23
max. l = 0.015  fidelity: 0.98813 	cnots: 14 	depth: 23
max. l = 0.02  fidelity: 0.98004 	cnots: 7 	depth: 9
max. l = 0.025  fidelity: 0.98004 	cnots: 7 	depth: 9
max. l = 0.03  fidelity: 0.98004 	cnots: 7 	depth: 9
max. l = 0.035  fidelity: 0.98004 	cnots: 7 	depth: 9
max. l = 0.04  fidelity: 0.9637 	cnots: 4 	depth: 9
max. l = 0.045  fidelity: 0.9637 	cnots: 4 	depth: 9
max. l = 0.05  fidelity: 0.95344 	cnots: 1 	depth: 3
max. l = 0.055  fidelity: 0.94656 	cnots: 0 	depth: 1



n = 7

backend = ibmq_casablanca

max_fidelity_loss / run / probability measure


0.005 	 0 	 	0.023681640625	0.0263671875	0.0384521484375	0.040771484375	0.0478515625	0.0458984375	0.0328369140625	0.0396728515625	0.0328369140625	0.03076171875	0.0296630859375	0.0257568359375	0.0313720703125	0.032958984375	0.018798828125	0.0220947265625	0.027099609375	0.0185546875	0.02099609375	0.018798828125	0.021484375	0.0191650390625	0.0150146484375	0.0205078125	0.011962890625	0.0123291015625	0.011474609375	0.0115966796875	0.0130615234375	0.0130615234375	0.0081787109375	0.0103759765625	0.0091552734375	0.0091552734375	0.006591796875	0.0068359375	0.0096435546875	0.0084228515625	0.0059814453125	0.0068359375	0.0062255859375	0.0062255859375	0.005859375	0.00732421875	0.00830078125	0.0048828125	0.0050048828125	0.0052490234375	0.007080078125	0.005859375	0.00439453125	0.00439453125	0.00732421875	0.00341796875	0.002685546875	0.003662109375	0.0023193359375	0.0032958984375	0.0025634765625	0.00439453125	0.0040283203125	0.0025634765625	0.002197265625	0.001953125	0.0013427734375	0.0009765625	0.002197265625	0.001953125	0.0020751953125	0.0029296875	0.00244140625	0.0030517578125	0.002197265625	0.0013427734375	0.00146484375	0.0015869140625	0.002197265625	0.00146484375	0.0006103515625	0.0009765625	0.0013427734375	0.0015869140625	0.001220703125	0.0008544921875	0.001220703125	0.0010986328125	0.0009765625	0.00146484375	0.0008544921875	0.00048828125	0.00048828125	0.000732421875	0.0008544921875	0.0010986328125	0.0001220703125	0.0008544921875	0.000244140625	0.000244140625	0.0003662109375	0.000244140625	0.00048828125	0.00048828125	0.0	0.0006103515625	0.000244140625	0.0003662109375	0.0003662109375	0.0001220703125	0.0001220703125	0.000244140625	0.000244140625	0.0006103515625	0.0003662109375	0.0003662109375	0.0001220703125	0.000244140625	0.00048828125	0.0003662109375	0.0006103515625	0.0001220703125	0.000244140625	0.0001220703125	0.000244140625	0.0001220703125	0.0001220703125	0.0001220703125	0.0	0.0
0.005 	 1 	 	0.045166015625	0.035400390625	0.026123046875	0.038330078125	0.0374755859375	0.023681640625	0.028564453125	0.0267333984375	0.03369140625	0.037841796875	0.032470703125	0.0428466796875	0.047607421875	0.02734375	0.03076171875	0.0404052734375	0.020263671875	0.0225830078125	0.0142822265625	0.0225830078125	0.022216796875	0.01025390625	0.0169677734375	0.019287109375	0.0135498046875	0.01171875	0.011962890625	0.0181884765625	0.0169677734375	0.008056640625	0.01171875	0.0142822265625	0.0089111328125	0.0042724609375	0.008544921875	0.0045166015625	0.00439453125	0.0076904296875	0.0040283203125	0.009521484375	0.0042724609375	0.002197265625	0.004638671875	0.0025634765625	0.0042724609375	0.002685546875	0.0030517578125	0.004150390625	0.0042724609375	0.0029296875	0.0048828125	0.002685546875	0.0032958984375	0.005126953125	0.000732421875	0.0048828125	0.0067138671875	0.0025634765625	0.0035400390625	0.00341796875	0.0025634765625	0.0029296875	0.001953125	0.00439453125	0.0020751953125	0.002685546875	0.00146484375	0.0018310546875	0.0020751953125	0.00146484375	0.0009765625	0.0010986328125	0.0018310546875	0.0025634765625	0.0020751953125	0.0028076171875	0.0020751953125	0.0015869140625	0.0020751953125	0.003662109375	0.0003662109375	0.001220703125	0.0008544921875	0.00146484375	0.0010986328125	0.0006103515625	0.0010986328125	0.001220703125	0.0001220703125	0.0013427734375	0.0003662109375	0.0008544921875	0.0006103515625	0.0003662109375	0.0010986328125	0.0006103515625	0.0003662109375	0.0003662109375	0.00048828125	0.0006103515625	0.0003662109375	0.00048828125	0.00048828125	0.00048828125	0.0001220703125	0.0	0.000244140625	0.000244140625	0.0	0.0003662109375	0.0001220703125	0.00048828125	0.0003662109375	0.000244140625	0.000244140625	0.0	0.0	0.0	0.0001220703125	0.000244140625	0.0008544921875	0.0	0.0001220703125	0.0	0.000244140625	0.000244140625	0.000244140625	0.000244140625
0.005 	 2 	 	0.02734375	0.0396728515625	0.05322265625	0.042724609375	0.0294189453125	0.0230712890625	0.0306396484375	0.030517578125	0.030517578125	0.0203857421875	0.02978515625	0.012939453125	0.0303955078125	0.009765625	0.0343017578125	0.017822265625	0.0316162109375	0.03173828125	0.030029296875	0.021240234375	0.02001953125	0.0169677734375	0.0189208984375	0.0174560546875	0.0166015625	0.013427734375	0.015380859375	0.008544921875	0.009765625	0.0089111328125	0.0076904296875	0.0072021484375	0.0125732421875	0.009765625	0.009521484375	0.004638671875	0.00927734375	0.005615234375	0.0096435546875	0.00732421875	0.0091552734375	0.0089111328125	0.009521484375	0.0069580078125	0.0057373046875	0.0059814453125	0.0054931640625	0.0047607421875	0.0067138671875	0.00439453125	0.005615234375	0.0045166015625	0.004638671875	0.0020751953125	0.0045166015625	0.00341796875	0.0025634765625	0.002197265625	0.0028076171875	0.0032958984375	0.001220703125	0.0013427734375	0.0025634765625	0.0020751953125	0.0025634765625	0.0032958984375	0.0045166015625	0.0048828125	0.0025634765625	0.00390625	0.0018310546875	0.002197265625	0.00341796875	0.0013427734375	0.0025634765625	0.00048828125	0.001708984375	0.001220703125	0.0035400390625	0.001708984375	0.0023193359375	0.00341796875	0.002197265625	0.001953125	0.002197265625	0.00146484375	0.0010986328125	0.0015869140625	0.0023193359375	0.001220703125	0.0009765625	0.0008544921875	0.0008544921875	0.00048828125	0.0001220703125	0.0013427734375	0.00146484375	0.0006103515625	0.000732421875	0.0010986328125	0.000732421875	0.0003662109375	0.0006103515625	0.0006103515625	0.0010986328125	0.00048828125	0.0006103515625	0.0003662109375	0.000732421875	0.0003662109375	0.0006103515625	0.00048828125	0.000244140625	0.0001220703125	0.0009765625	0.0010986328125	0.0006103515625	0.0006103515625	0.00048828125	0.0	0.0001220703125	0.0003662109375	0.0003662109375	0.0003662109375	0.0001220703125	0.0001220703125	0.000244140625	0.0001220703125
0.005 	 3 	 	0.025146484375	0.0306396484375	0.02978515625	0.0440673828125	0.0396728515625	0.0255126953125	0.0364990234375	0.0340576171875	0.033447265625	0.0380859375	0.0260009765625	0.03125	0.0308837890625	0.0218505859375	0.025634765625	0.0260009765625	0.02587890625	0.0294189453125	0.0235595703125	0.02783203125	0.029052734375	0.020263671875	0.023193359375	0.0211181640625	0.01123046875	0.0135498046875	0.0067138671875	0.0115966796875	0.01123046875	0.0068359375	0.00927734375	0.008544921875	0.0072021484375	0.00830078125	0.0050048828125	0.006591796875	0.0074462890625	0.0037841796875	0.006103515625	0.004638671875	0.0035400390625	0.00390625	0.0040283203125	0.00537109375	0.00537109375	0.0025634765625	0.004150390625	0.004638671875	0.0076904296875	0.0074462890625	0.004638671875	0.0072021484375	0.006591796875	0.0050048828125	0.00634765625	0.0057373046875	0.0032958984375	0.005126953125	0.001953125	0.004150390625	0.002685546875	0.002685546875	0.002685546875	0.0030517578125	0.0025634765625	0.002685546875	0.0023193359375	0.00244140625	0.0032958984375	0.001953125	0.0028076171875	0.0018310546875	0.001953125	0.001953125	0.0015869140625	0.0009765625	0.001220703125	0.0008544921875	0.0010986328125	0.0010986328125	0.0010986328125	0.0018310546875	0.0009765625	0.0015869140625	0.0018310546875	0.000732421875	0.002685546875	0.0018310546875	0.0006103515625	0.0006103515625	0.000244140625	0.0006103515625	0.0008544921875	0.0003662109375	0.0003662109375	0.0009765625	0.0009765625	0.0008544921875	0.00048828125	0.00048828125	0.0009765625	0.000244140625	0.0008544921875	0.0003662109375	0.0010986328125	0.000244140625	0.0006103515625	0.0006103515625	0.000244140625	0.0006103515625	0.000244140625	0.0010986328125	0.000244140625	0.0006103515625	0.00048828125	0.0006103515625	0.00048828125	0.000244140625	0.00048828125	0.000244140625	0.000244140625	0.0003662109375	0.0001220703125	0.0001220703125	0.0003662109375	0.0001220703125	0.000244140625	0.0003662109375
0.005 	 4 	 	0.0223388671875	0.0230712890625	0.0306396484375	0.0452880859375	0.0457763671875	0.0216064453125	0.0269775390625	0.0421142578125	0.028076171875	0.021240234375	0.0242919921875	0.0284423828125	0.0328369140625	0.0181884765625	0.0172119140625	0.03564453125	0.0196533203125	0.01611328125	0.0174560546875	0.021728515625	0.024169921875	0.0135498046875	0.0142822265625	0.0245361328125	0.0164794921875	0.013427734375	0.0125732421875	0.017578125	0.018310546875	0.009521484375	0.0103759765625	0.0230712890625	0.012451171875	0.0103759765625	0.0098876953125	0.0157470703125	0.0164794921875	0.006591796875	0.0081787109375	0.017822265625	0.005615234375	0.0042724609375	0.005126953125	0.0062255859375	0.0078125	0.0047607421875	0.0040283203125	0.0076904296875	0.005615234375	0.0057373046875	0.005859375	0.0052490234375	0.007080078125	0.0029296875	0.0029296875	0.005859375	0.002197265625	0.0018310546875	0.00146484375	0.0030517578125	0.0042724609375	0.001220703125	0.002197265625	0.00341796875	0.00146484375	0.0008544921875	0.0030517578125	0.002197265625	0.0035400390625	0.0013427734375	0.00244140625	0.004150390625	0.002197265625	0.000732421875	0.0020751953125	0.002197265625	0.002197265625	0.0008544921875	0.001220703125	0.001220703125	0.0008544921875	0.000732421875	0.0013427734375	0.00146484375	0.0015869140625	0.00048828125	0.001220703125	0.0008544921875	0.0006103515625	0.0008544921875	0.001220703125	0.0010986328125	0.0008544921875	0.0003662109375	0.00048828125	0.0013427734375	0.000244140625	0.00048828125	0.0008544921875	0.0006103515625	0.0008544921875	0.0003662109375	0.00048828125	0.0006103515625	0.000732421875	0.0003662109375	0.00048828125	0.0001220703125	0.0009765625	0.0001220703125	0.000244140625	0.000244140625	0.000244140625	0.00048828125	0.00048828125	0.0001220703125	0.00048828125	0.0003662109375	0.0001220703125	0.00048828125	0.0	0.0001220703125	0.0001220703125	0.0001220703125	0.0003662109375	0.000244140625	0.0006103515625	0.0001220703125
0.005 	 5 	 	0.0196533203125	0.0325927734375	0.02783203125	0.0477294921875	0.0350341796875	0.0322265625	0.036376953125	0.0386962890625	0.029052734375	0.040283203125	0.025634765625	0.0352783203125	0.02197265625	0.025146484375	0.02099609375	0.0272216796875	0.0245361328125	0.0313720703125	0.015380859375	0.02880859375	0.016845703125	0.020751953125	0.01513671875	0.0196533203125	0.0126953125	0.0169677734375	0.010986328125	0.0205078125	0.0120849609375	0.01416015625	0.0126953125	0.013671875	0.008056640625	0.01171875	0.0048828125	0.00830078125	0.0048828125	0.005859375	0.0045166015625	0.0069580078125	0.0040283203125	0.0067138671875	0.0042724609375	0.006103515625	0.0040283203125	0.0059814453125	0.004638671875	0.005859375	0.005126953125	0.008544921875	0.0047607421875	0.0076904296875	0.0048828125	0.0047607421875	0.00439453125	0.0054931640625	0.00439453125	0.0037841796875	0.0025634765625	0.0037841796875	0.00341796875	0.002685546875	0.0028076171875	0.0028076171875	0.0008544921875	0.001220703125	0.0018310546875	0.001953125	0.002197265625	0.0020751953125	0.0018310546875	0.0028076171875	0.00146484375	0.0020751953125	0.0010986328125	0.0018310546875	0.001220703125	0.0013427734375	0.00048828125	0.001220703125	0.000732421875	0.0020751953125	0.00048828125	0.001220703125	0.0008544921875	0.0009765625	0.00048828125	0.0009765625	0.0010986328125	0.0015869140625	0.0006103515625	0.0006103515625	0.0001220703125	0.0009765625	0.00048828125	0.00048828125	0.0006103515625	0.0006103515625	0.0006103515625	0.000732421875	0.0003662109375	0.0003662109375	0.000244140625	0.0006103515625	0.00048828125	0.00048828125	0.0	0.0001220703125	0.0	0.0001220703125	0.00048828125	0.000244140625	0.0001220703125	0.000244140625	0.0	0.0001220703125	0.000244140625	0.000244140625	0.000732421875	0.000244140625	0.000244140625	0.0006103515625	0.0	0.000244140625	0.0	0.0003662109375	0.0001220703125	0.0003662109375
0.005 	 6 	 	0.017333984375	0.0216064453125	0.0369873046875	0.0460205078125	0.0458984375	0.0264892578125	0.034912109375	0.0457763671875	0.0316162109375	0.0308837890625	0.0374755859375	0.0411376953125	0.03125	0.02294921875	0.027587890625	0.033447265625	0.021240234375	0.016357421875	0.014892578125	0.0164794921875	0.0133056640625	0.00927734375	0.013671875	0.015869140625	0.0146484375	0.0107421875	0.0184326171875	0.017578125	0.0162353515625	0.010498046875	0.014892578125	0.01513671875	0.0074462890625	0.007568359375	0.0086669921875	0.009033203125	0.0089111328125	0.005126953125	0.007080078125	0.007568359375	0.0057373046875	0.0050048828125	0.005126953125	0.005859375	0.003173828125	0.0028076171875	0.0050048828125	0.005615234375	0.0045166015625	0.0048828125	0.006103515625	0.0072021484375	0.005859375	0.0037841796875	0.0048828125	0.00439453125	0.0054931640625	0.003662109375	0.003662109375	0.00439453125	0.0032958984375	0.002197265625	0.001953125	0.00390625	0.0010986328125	0.0008544921875	0.0013427734375	0.00341796875	0.0028076171875	0.0023193359375	0.002197265625	0.0025634765625	0.0035400390625	0.0015869140625	0.0009765625	0.0030517578125	0.001708984375	0.0025634765625	0.002197265625	0.00244140625	0.0013427734375	0.0010986328125	0.0006103515625	0.0010986328125	0.000732421875	0.0010986328125	0.00146484375	0.0013427734375	0.0008544921875	0.0009765625	0.000732421875	0.0008544921875	0.000244140625	0.0008544921875	0.0001220703125	0.0008544921875	0.0009765625	0.000732421875	0.00048828125	0.0009765625	0.00048828125	0.0003662109375	0.0	0.0006103515625	0.000244140625	0.00048828125	0.0001220703125	0.00048828125	0.000244140625	0.000244140625	0.0001220703125	0.0003662109375	0.0	0.000244140625	0.0	0.0001220703125	0.0001220703125	0.00048828125	0.0003662109375	0.0008544921875	0.0	0.0001220703125	0.0001220703125	0.0001220703125	0.0003662109375	0.0001220703125	0.0003662109375	0.0001220703125
0.005 	 7 	 	0.01611328125	0.0245361328125	0.026123046875	0.0308837890625	0.0477294921875	0.0394287109375	0.0400390625	0.0394287109375	0.0250244140625	0.0294189453125	0.01953125	0.0191650390625	0.0274658203125	0.0223388671875	0.027099609375	0.022705078125	0.017333984375	0.0283203125	0.0184326171875	0.0196533203125	0.02978515625	0.0255126953125	0.02880859375	0.0252685546875	0.008544921875	0.010986328125	0.0091552734375	0.00927734375	0.0145263671875	0.009521484375	0.0125732421875	0.009033203125	0.007080078125	0.0078125	0.0052490234375	0.0079345703125	0.0118408203125	0.0096435546875	0.01025390625	0.010986328125	0.0042724609375	0.0037841796875	0.00341796875	0.0035400390625	0.0040283203125	0.0045166015625	0.0047607421875	0.00439453125	0.0050048828125	0.0059814453125	0.00390625	0.00634765625	0.0086669921875	0.007568359375	0.0076904296875	0.0064697265625	0.003173828125	0.00341796875	0.0032958984375	0.0020751953125	0.0057373046875	0.0040283203125	0.002685546875	0.0032958984375	0.00146484375	0.00244140625	0.0023193359375	0.0025634765625	0.0048828125	0.00439453125	0.0032958984375	0.0023193359375	0.0023193359375	0.0030517578125	0.0029296875	0.0013427734375	0.0020751953125	0.001953125	0.0023193359375	0.002685546875	0.001953125	0.002197265625	0.001953125	0.001708984375	0.001953125	0.0020751953125	0.0030517578125	0.0025634765625	0.0008544921875	0.0009765625	0.0009765625	0.001220703125	0.001708984375	0.0009765625	0.0001220703125	0.0008544921875	0.00048828125	0.0009765625	0.000732421875	0.0003662109375	0.0008544921875	0.001220703125	0.0009765625	0.0006103515625	0.000244140625	0.00048828125	0.0	0.0003662109375	0.0010986328125	0.000244140625	0.0006103515625	0.0008544921875	0.0001220703125	0.00048828125	0.000732421875	0.000244140625	0.0001220703125	0.000732421875	0.000732421875	0.000244140625	0.000244140625	0.0	0.0001220703125	0.0006103515625	0.0001220703125	0.0003662109375	0.0003662109375	0.00048828125
0.005 	 8 	 	0.02001953125	0.024169921875	0.031982421875	0.032958984375	0.0494384765625	0.0318603515625	0.045166015625	0.029052734375	0.03076171875	0.02294921875	0.0184326171875	0.019775390625	0.0245361328125	0.017333984375	0.01904296875	0.0172119140625	0.0281982421875	0.030029296875	0.0286865234375	0.024658203125	0.0360107421875	0.020751953125	0.0272216796875	0.0206298828125	0.0140380859375	0.01220703125	0.008544921875	0.0101318359375	0.010986328125	0.009521484375	0.00927734375	0.0079345703125	0.009033203125	0.0091552734375	0.0072021484375	0.005615234375	0.009765625	0.0067138671875	0.00830078125	0.0062255859375	0.00634765625	0.0068359375	0.0037841796875	0.003662109375	0.0048828125	0.0042724609375	0.00439453125	0.004638671875	0.00830078125	0.00732421875	0.0059814453125	0.0084228515625	0.00927734375	0.00634765625	0.00732421875	0.0050048828125	0.00390625	0.0023193359375	0.0030517578125	0.002685546875	0.00390625	0.0025634765625	0.002197265625	0.002685546875	0.0030517578125	0.0023193359375	0.0013427734375	0.00341796875	0.0023193359375	0.0030517578125	0.002685546875	0.00146484375	0.0018310546875	0.002197265625	0.00146484375	0.00244140625	0.00341796875	0.00146484375	0.0037841796875	0.0009765625	0.0029296875	0.0032958984375	0.003662109375	0.0029296875	0.004150390625	0.0028076171875	0.00244140625	0.0025634765625	0.000732421875	0.001220703125	0.000732421875	0.0003662109375	0.0009765625	0.0	0.000732421875	0.0003662109375	0.0009765625	0.00048828125	0.001220703125	0.0006103515625	0.00048828125	0.0006103515625	0.0003662109375	0.000244140625	0.0006103515625	0.000244140625	0.0009765625	0.0008544921875	0.0015869140625	0.000244140625	0.0003662109375	0.0003662109375	0.0001220703125	0.000732421875	0.000244140625	0.0008544921875	0.000732421875	0.000732421875	0.000732421875	0.00048828125	0.0001220703125	0.0001220703125	0.0001220703125	0.0003662109375	0.0006103515625	0.00048828125	0.00048828125	0.0
0.005 	 9 	 	0.0308837890625	0.0343017578125	0.0341796875	0.035888671875	0.05029296875	0.037109375	0.0301513671875	0.025146484375	0.0198974609375	0.023193359375	0.018798828125	0.02734375	0.029541015625	0.0279541015625	0.02978515625	0.0389404296875	0.0135498046875	0.0159912109375	0.015380859375	0.0194091796875	0.021240234375	0.0150146484375	0.022216796875	0.020263671875	0.011474609375	0.0135498046875	0.0107421875	0.0177001953125	0.0103759765625	0.0091552734375	0.00830078125	0.010986328125	0.01171875	0.01171875	0.010986328125	0.0145263671875	0.015869140625	0.0123291015625	0.013671875	0.012451171875	0.0029296875	0.0047607421875	0.0035400390625	0.0047607421875	0.0059814453125	0.0048828125	0.00537109375	0.006103515625	0.00390625	0.0047607421875	0.00390625	0.00732421875	0.0079345703125	0.0064697265625	0.008056640625	0.0081787109375	0.00244140625	0.001708984375	0.001708984375	0.00244140625	0.003173828125	0.0018310546875	0.0015869140625	0.003662109375	0.0035400390625	0.0028076171875	0.001953125	0.0023193359375	0.0030517578125	0.001708984375	0.002685546875	0.00146484375	0.001953125	0.0010986328125	0.001708984375	0.0008544921875	0.0023193359375	0.00146484375	0.0013427734375	0.002685546875	0.0010986328125	0.001220703125	0.0003662109375	0.001220703125	0.0010986328125	0.0008544921875	0.0018310546875	0.000732421875	0.0003662109375	0.001220703125	0.0009765625	0.000732421875	0.00048828125	0.0003662109375	0.00048828125	0.0009765625	0.000732421875	0.0009765625	0.000732421875	0.000732421875	0.00146484375	0.000732421875	0.000732421875	0.001220703125	0.0001220703125	0.0003662109375	0.000244140625	0.0	0.000244140625	0.000244140625	0.00048828125	0.0003662109375	0.0001220703125	0.0001220703125	0.000244140625	0.0003662109375	0.000244140625	0.0008544921875	0.000732421875	0.000244140625	0.0	0.0001220703125	0.0003662109375	0.0	0.000244140625	0.000244140625	0.0001220703125	0.0001220703125

0.01 	 0 	 	0.036865234375	0.0443115234375	0.0440673828125	0.0634765625	0.0394287109375	0.0299072265625	0.026123046875	0.024169921875	0.0291748046875	0.028564453125	0.0245361328125	0.0289306640625	0.0262451171875	0.021240234375	0.0194091796875	0.02490234375	0.0216064453125	0.0247802734375	0.0233154296875	0.029541015625	0.0159912109375	0.0174560546875	0.0166015625	0.019775390625	0.0113525390625	0.010009765625	0.0093994140625	0.009521484375	0.009521484375	0.009521484375	0.0072021484375	0.0089111328125	0.0086669921875	0.009521484375	0.0074462890625	0.0081787109375	0.0081787109375	0.0084228515625	0.0074462890625	0.0068359375	0.0048828125	0.0078125	0.0040283203125	0.00830078125	0.003662109375	0.003662109375	0.002197265625	0.0028076171875	0.00732421875	0.0072021484375	0.0087890625	0.006591796875	0.0081787109375	0.0067138671875	0.0054931640625	0.0091552734375	0.0028076171875	0.0029296875	0.0028076171875	0.0030517578125	0.0042724609375	0.0029296875	0.0015869140625	0.0028076171875	0.00146484375	0.0030517578125	0.0028076171875	0.0032958984375	0.0018310546875	0.00244140625	0.001708984375	0.000732421875	0.001708984375	0.0009765625	0.0018310546875	0.0013427734375	0.001953125	0.0010986328125	0.000732421875	0.0008544921875	0.0010986328125	0.00146484375	0.0015869140625	0.002197265625	0.0015869140625	0.0008544921875	0.0009765625	0.002197265625	0.0001220703125	0.0006103515625	0.0013427734375	0.0006103515625	0.0006103515625	0.000732421875	0.0006103515625	0.0009765625	0.0006103515625	0.0015869140625	0.0008544921875	0.000732421875	0.0009765625	0.000244140625	0.0006103515625	0.000732421875	0.0006103515625	0.0003662109375	0.0008544921875	0.000244140625	0.000244140625	0.0001220703125	0.0	0.0001220703125	0.0006103515625	0.000244140625	0.0006103515625	0.000244140625	0.00048828125	0.0003662109375	0.000244140625	0.0008544921875	0.0	0.0003662109375	0.000244140625	0.0	0.000244140625	0.000244140625	0.0	0.0003662109375
0.01 	 1 	 	0.0224609375	0.0347900390625	0.030029296875	0.0428466796875	0.048583984375	0.0333251953125	0.043701171875	0.0357666015625	0.040283203125	0.0374755859375	0.02294921875	0.025634765625	0.0281982421875	0.017822265625	0.0291748046875	0.021484375	0.0218505859375	0.0172119140625	0.0113525390625	0.01708984375	0.01611328125	0.01025390625	0.0142822265625	0.01513671875	0.010986328125	0.0157470703125	0.009521484375	0.0123291015625	0.0126953125	0.0074462890625	0.0120849609375	0.0086669921875	0.015625	0.017822265625	0.010009765625	0.0140380859375	0.0150146484375	0.00830078125	0.011962890625	0.01123046875	0.00732421875	0.0064697265625	0.003173828125	0.00439453125	0.0040283203125	0.0040283203125	0.00439453125	0.004638671875	0.0057373046875	0.0068359375	0.0035400390625	0.005126953125	0.00537109375	0.00390625	0.0057373046875	0.00537109375	0.004638671875	0.0030517578125	0.0006103515625	0.0006103515625	0.0018310546875	0.00146484375	0.001708984375	0.00146484375	0.0029296875	0.0032958984375	0.0029296875	0.00390625	0.0040283203125	0.003662109375	0.004638671875	0.001708984375	0.001220703125	0.001708984375	0.0020751953125	0.0008544921875	0.001220703125	0.0009765625	0.001953125	0.0009765625	0.002197265625	0.0015869140625	0.0013427734375	0.0018310546875	0.001708984375	0.000732421875	0.0009765625	0.001708984375	0.001220703125	0.0009765625	0.0008544921875	0.0010986328125	0.00048828125	0.001220703125	0.0010986328125	0.0003662109375	0.0013427734375	0.000732421875	0.000732421875	0.000732421875	0.001220703125	0.0003662109375	0.0008544921875	0.0008544921875	0.0006103515625	0.00048828125	0.000244140625	0.0003662109375	0.0001220703125	0.0001220703125	0.00048828125	0.0	0.0009765625	0.000732421875	0.0001220703125	0.00048828125	0.0009765625	0.0006103515625	0.0010986328125	0.00048828125	0.000244140625	0.000244140625	0.0001220703125	0.0001220703125	0.000244140625	0.0	0.0	0.0
0.01 	 2 	 	0.025146484375	0.021728515625	0.0233154296875	0.0416259765625	0.04541015625	0.0169677734375	0.015380859375	0.0335693359375	0.048583984375	0.0340576171875	0.031005859375	0.055908203125	0.057373046875	0.025146484375	0.025634765625	0.04443359375	0.024169921875	0.0185546875	0.014892578125	0.0267333984375	0.0283203125	0.008544921875	0.0108642578125	0.022705078125	0.0146484375	0.0118408203125	0.0106201171875	0.0177001953125	0.0184326171875	0.0048828125	0.0054931640625	0.012939453125	0.0078125	0.007568359375	0.00341796875	0.01171875	0.014892578125	0.0028076171875	0.003662109375	0.0084228515625	0.00341796875	0.0028076171875	0.0010986328125	0.0062255859375	0.003662109375	0.000732421875	0.00146484375	0.0040283203125	0.0042724609375	0.0045166015625	0.0040283203125	0.0078125	0.006591796875	0.0025634765625	0.004150390625	0.0054931640625	0.0030517578125	0.0029296875	0.0018310546875	0.0042724609375	0.0048828125	0.00146484375	0.0018310546875	0.004638671875	0.0013427734375	0.000732421875	0.0010986328125	0.002685546875	0.0030517578125	0.0013427734375	0.0009765625	0.0013427734375	0.0032958984375	0.0023193359375	0.0015869140625	0.003173828125	0.003173828125	0.001708984375	0.00146484375	0.003662109375	0.00146484375	0.00146484375	0.0010986328125	0.00146484375	0.00146484375	0.00048828125	0.000732421875	0.001220703125	0.0009765625	0.0006103515625	0.000244140625	0.0009765625	0.0006103515625	0.0001220703125	0.000244140625	0.001220703125	0.000732421875	0.0006103515625	0.0003662109375	0.00048828125	0.0009765625	0.000244140625	0.0003662109375	0.000244140625	0.0	0.0001220703125	0.0003662109375	0.000244140625	0.000244140625	0.0	0.0001220703125	0.000244140625	0.000244140625	0.0003662109375	0.0001220703125	0.0006103515625	0.0001220703125	0.0	0.0001220703125	0.0001220703125	0.0001220703125	0.0	0.000244140625	0.0	0.000244140625	0.0	0.0001220703125	0.0001220703125
0.01 	 3 	 	0.023681640625	0.030029296875	0.025146484375	0.033935546875	0.0487060546875	0.042724609375	0.0379638671875	0.0325927734375	0.020263671875	0.0286865234375	0.0194091796875	0.02734375	0.029541015625	0.029541015625	0.0316162109375	0.0419921875	0.0162353515625	0.0164794921875	0.0157470703125	0.017822265625	0.0198974609375	0.0169677734375	0.0184326171875	0.0201416015625	0.0113525390625	0.0146484375	0.01123046875	0.0169677734375	0.0108642578125	0.0079345703125	0.0091552734375	0.0091552734375	0.0091552734375	0.0140380859375	0.0108642578125	0.0140380859375	0.0140380859375	0.0115966796875	0.011474609375	0.0111083984375	0.0023193359375	0.004150390625	0.0020751953125	0.005615234375	0.006103515625	0.00634765625	0.0045166015625	0.0048828125	0.00341796875	0.006103515625	0.0032958984375	0.0042724609375	0.0079345703125	0.007568359375	0.00830078125	0.00732421875	0.00390625	0.0023193359375	0.001953125	0.0030517578125	0.0020751953125	0.002685546875	0.0025634765625	0.0035400390625	0.001220703125	0.0018310546875	0.001953125	0.0023193359375	0.0032958984375	0.0025634765625	0.001953125	0.001953125	0.00146484375	0.0023193359375	0.0010986328125	0.002197265625	0.0018310546875	0.0018310546875	0.0018310546875	0.0023193359375	0.0018310546875	0.0010986328125	0.000732421875	0.0009765625	0.002197265625	0.0009765625	0.0010986328125	0.001220703125	0.0003662109375	0.0010986328125	0.0006103515625	0.0018310546875	0.0010986328125	0.0003662109375	0.0006103515625	0.00048828125	0.00048828125	0.0003662109375	0.0006103515625	0.000732421875	0.0010986328125	0.0006103515625	0.0008544921875	0.0008544921875	0.000244140625	0.00048828125	0.00048828125	0.0001220703125	0.0003662109375	0.0003662109375	0.0006103515625	0.0008544921875	0.0	0.0003662109375	0.0	0.0	0.0006103515625	0.0006103515625	0.0003662109375	0.000732421875	0.000244140625	0.0001220703125	0.0	0.0	0.0	0.0001220703125	0.0001220703125	0.0001220703125
